           
| x            | y            | z            | q             |
|0.000000              |0.000000              |0.000000              |0.000000             |
|1.000000              |0.000000              |0.000000              |0.000000             |
|2.000000              |0.000000              |0.000000              |0.000000             |
|3.000000              |0.000000              |0.000000              |0.000000             |
|4.000000              |0.000000              |0.000000              |0.000000             |
|5.000000              |0.000000              |0.000000              |0.000000             |
|6.000000              |0.000000              |0.000000              |0.000000             |
|7.000000              |0.000000              |0.000000              |0.000000             |
|8.000000              |0.000000              |0.000000              |0.000000             |
|9.000000              |0.000000              |0.000000              |0.000000             |
|10.000000              |0.000000              |0.000000              |0.000000             |
|0.000000              |1.000000              |0.000000              |0.000000             |
|1.000000              |1.000000              |0.000000              |-0.142058             |
|2.000000              |1.000000              |0.000000              |-0.168572             |
|3.000000              |1.000000              |0.000000              |0.007482             |
|4.000000              |1.000000              |0.000000              |0.736559             |
|5.000000              |1.000000              |0.000000              |-0.184923             |
|6.000000              |1.000000              |0.000000              |0.914757             |
|7.000000              |1.000000              |0.000000              |-0.839913             |
|8.000000              |1.000000              |0.000000              |-0.319375             |
|9.000000              |1.000000              |0.000000              |-0.400921             |
|10.000000              |1.000000              |0.000000              |0.000000             |
|0.000000              |2.000000              |0.000000              |0.000000             |
|1.000000              |2.000000              |0.000000              |-0.168572             |
|2.000000              |2.000000              |0.000000              |-0.142717             |
|3.000000              |2.000000              |0.000000              |-0.190487             |
|4.000000              |2.000000              |0.000000              |-0.628203             |
|5.000000              |2.000000              |0.000000              |6.873717             |
|6.000000              |2.000000              |0.000000              |-5.922370             |
|7.000000              |2.000000              |0.000000              |4.713061             |
|8.000000              |2.000000              |0.000000              |-1.083749             |
|9.000000              |2.000000              |0.000000              |-0.957430             |
|10.000000              |2.000000              |0.000000              |0.000000             |
|0.000000              |3.000000              |0.000000              |0.000000             |
|1.000000              |3.000000              |0.000000              |0.007482             |
|2.000000              |3.000000              |0.000000              |-0.190487             |
|3.000000              |3.000000              |0.000000              |0.387179             |
|4.000000              |3.000000              |0.000000              |-3.334028             |
|5.000000              |3.000000              |0.000000              |-11.198701             |
|6.000000              |3.000000              |0.000000              |127.343550             |
|7.000000              |3.000000              |0.000000              |-1.117882             |
|8.000000              |3.000000              |0.000000              |-6.465171             |
|9.000000              |3.000000              |0.000000              |-0.728442             |
|10.000000              |3.000000              |0.000000              |0.000000             |
|0.000000              |4.000000              |0.000000              |0.000000             |
|1.000000              |4.000000              |0.000000              |0.736559             |
|2.000000              |4.000000              |0.000000              |-0.628203             |
|3.000000              |4.000000              |0.000000              |-3.334028             |
|7.000000              |4.000000              |0.000000              |-120.516960             |
|8.000000              |4.000000              |0.000000              |2.010344             |
|9.000000              |4.000000              |0.000000              |-2.619750             |
|10.000000              |4.000000              |0.000000              |0.000000             |
|0.000000              |5.000000              |0.000000              |0.000000             |
|1.000000              |5.000000              |0.000000              |-0.184923             |
|2.000000              |5.000000              |0.000000              |6.873717             |
|3.000000              |5.000000              |0.000000              |-11.198701             |
|7.000000              |5.000000              |0.000000              |-14.544848             |
|8.000000              |5.000000              |0.000000              |-10.717079             |
|9.000000              |5.000000              |0.000000              |-2.109516             |
|10.000000              |5.000000              |0.000000              |0.000000             |
|0.000000              |6.000000              |0.000000              |0.000000             |
|1.000000              |6.000000              |0.000000              |0.914757             |
|2.000000              |6.000000              |0.000000              |-5.922370             |
|3.000000              |6.000000              |0.000000              |127.343550             |
|7.000000              |6.000000              |0.000000              |-5.380251             |
|8.000000              |6.000000              |0.000000              |-5.061457             |
|9.000000              |6.000000              |0.000000              |-3.163171             |
|10.000000              |6.000000              |0.000000              |0.000000             |
|0.000000              |7.000000              |0.000000              |0.000000             |
|1.000000              |7.000000              |0.000000              |-0.839913             |
|2.000000              |7.000000              |0.000000              |4.713061             |
|3.000000              |7.000000              |0.000000              |-1.117882             |
|4.000000              |7.000000              |0.000000              |-120.516960             |
|5.000000              |7.000000              |0.000000              |-14.544848             |
|6.000000              |7.000000              |0.000000              |-5.380252             |
|7.000000              |7.000000              |0.000000              |-4.706650             |
|8.000000              |7.000000              |0.000000              |-4.146420             |
|9.000000              |7.000000              |0.000000              |-2.581996             |
|10.000000              |7.000000              |0.000000              |0.000000             |
|0.000000              |8.000000              |0.000000              |0.000000             |
|1.000000              |8.000000              |0.000000              |-0.319375             |
|2.000000              |8.000000              |0.000000              |-1.083749             |
|3.000000              |8.000000              |0.000000              |-6.465171             |
|4.000000              |8.000000              |0.000000              |2.010344             |
|5.000000              |8.000000              |0.000000              |-10.717079             |
|6.000000              |8.000000              |0.000000              |-5.061457             |
|7.000000              |8.000000              |0.000000              |-4.146420             |
|8.000000              |8.000000              |0.000000              |-3.409696             |
|9.000000              |8.000000              |0.000000              |-1.992332             |
|10.000000              |8.000000              |0.000000              |0.000000             |
|0.000000              |9.000000              |0.000000              |0.000000             |
|1.000000              |9.000000              |0.000000              |-0.400921             |
|2.000000              |9.000000              |0.000000              |-0.957430             |
|3.000000              |9.000000              |0.000000              |-0.728442             |
|4.000000              |9.000000              |0.000000              |-2.619750             |
|5.000000              |9.000000              |0.000000              |-2.109516             |
|6.000000              |9.000000              |0.000000              |-3.163171             |
|7.000000              |9.000000              |0.000000              |-2.581996             |
|8.000000              |9.000000              |0.000000              |-1.992332             |
|9.000000              |9.000000              |0.000000              |-1.118435             |
|10.000000              |9.000000              |0.000000              |0.000000             |
|0.000000              |10.000000              |0.000000              |0.000000             |
|1.000000              |10.000000              |0.000000              |0.000000             |
|2.000000              |10.000000              |0.000000              |0.000000             |
|3.000000              |10.000000              |0.000000              |0.000000             |
|4.000000              |10.000000              |0.000000              |0.000000             |
|5.000000              |10.000000              |0.000000              |0.000000             |
|6.000000              |10.000000              |0.000000              |0.000000             |
|7.000000              |10.000000              |0.000000              |0.000000             |
|8.000000              |10.000000              |0.000000              |0.000000             |
|9.000000              |10.000000              |0.000000              |0.000000             |
|10.000000              |10.000000              |0.000000              |0.000000             |
|4.746447              |4.746447              |0.000000              |1.438211             |
|3.873223              |3.873223              |0.000000              |-1.519581             |
|4.867997              |4.657084              |0.000000              |1.523894             |
|4.433998              |3.828542              |0.000000              |-0.789504             |
|5.076217              |4.600566              |0.000000              |-1.313602             |
|5.038109              |3.800283              |0.000000              |5.645798             |
|5.296960              |4.640427              |0.000000              |0.286456             |
|5.648480              |3.820214              |0.000000              |-5.768879             |
|5.435457              |4.729232              |0.000000              |-2.483031             |
|6.217728              |3.864616              |0.000000              |-3.977454             |
|5.532713              |4.849482              |0.000000              |-4.296437             |
|6.266357              |4.424741              |0.000000              |-3.828490             |
|5.599309              |5.073721              |0.000000              |-4.262731             |
|6.299654              |5.036860              |0.000000              |-11.025618             |
|5.551869              |5.314043              |0.000000              |-6.289377             |
|6.275934              |5.657022              |0.000000              |-7.035078             |
|5.453553              |5.453553              |0.000000              |-6.618139             |
|6.226777              |6.226777              |0.000000              |-5.695671             |
|5.314043              |5.551869              |0.000000              |-6.289377             |
|5.657022              |6.275934              |0.000000              |-7.035078             |
|5.073721              |5.599309              |0.000000              |-4.262731             |
|5.036860              |6.299654              |0.000000              |-11.025618             |
|4.849482              |5.532713              |0.000000              |-4.296437             |
|4.424741              |6.266357              |0.000000              |-3.828490             |
|4.729232              |5.435457              |0.000000              |-2.483031             |
|3.864616              |6.217728              |0.000000              |-3.977454             |
|4.640427              |5.296960              |0.000000              |0.286456             |
|3.820214              |5.648480              |0.000000              |-5.768879             |
|4.600566              |5.076217              |0.000000              |-1.313602             |
|3.800283              |5.038109              |0.000000              |5.645798             |
|4.657084              |4.867997              |0.000000              |1.523894             |
|3.828542              |4.433998              |0.000000              |-0.789504             |
|0.000000              |0.000000              |1.000000              |0.000000             |
|1.000000              |0.000000              |1.000000              |0.000000             |
|2.000000              |0.000000              |1.000000              |0.000000             |
|3.000000              |0.000000              |1.000000              |0.000000             |
|4.000000              |0.000000              |1.000000              |0.000000             |
|5.000000              |0.000000              |1.000000              |0.000000             |
|6.000000              |0.000000              |1.000000              |0.000000             |
|7.000000              |0.000000              |1.000000              |0.000000             |
|8.000000              |0.000000              |1.000000              |0.000000             |
|9.000000              |0.000000              |1.000000              |0.000000             |
|10.000000              |0.000000              |1.000000              |0.000000             |
|0.000000              |1.000000              |1.000000              |0.000000             |
|1.000000              |1.000000              |1.000000              |-0.295969             |
|2.000000              |1.000000              |1.000000              |-0.389127             |
|3.000000              |1.000000              |1.000000              |-0.064451             |
|4.000000              |1.000000              |1.000000              |-0.006520             |
|5.000000              |1.000000              |1.000000              |0.480180             |
|6.000000              |1.000000              |1.000000              |-0.405157             |
|7.000000              |1.000000              |1.000000              |-0.404950             |
|8.000000              |1.000000              |1.000000              |-0.884741             |
|9.000000              |1.000000              |1.000000              |-0.571456             |
|10.000000              |1.000000              |1.000000              |0.000000             |
|0.000000              |2.000000              |1.000000              |0.000000             |
|1.000000              |2.000000              |1.000000              |-0.389127             |
|2.000000              |2.000000              |1.000000              |-0.573704             |
|3.000000              |2.000000              |1.000000              |-0.080720             |
|4.000000              |2.000000              |1.000000              |2.417069             |
|5.000000              |2.000000              |1.000000              |-0.483159             |
|6.000000              |2.000000              |1.000000              |2.964414             |
|7.000000              |2.000000              |1.000000              |-2.546800             |
|8.000000              |2.000000              |1.000000              |-1.723504             |
|9.000000              |2.000000              |1.000000              |-0.919004             |
|10.000000              |2.000000              |1.000000              |0.000000             |
|0.000000              |3.000000              |1.000000              |0.000000             |
|1.000000              |3.000000              |1.000000              |-0.064451             |
|2.000000              |3.000000              |1.000000              |-0.080720             |
|3.000000              |3.000000              |1.000000              |-0.239290             |
|4.000000              |3.000000              |1.000000              |-2.694150             |
|5.000000              |3.000000              |1.000000              |7.290369             |
|6.000000              |3.000000              |1.000000              |-38.879606             |
|7.000000              |3.000000              |1.000000              |-4.152659             |
|8.000000              |3.000000              |1.000000              |0.738116             |
|9.000000              |3.000000              |1.000000              |-1.898898             |
|10.000000              |3.000000              |1.000000              |0.000000             |
|0.000000              |4.000000              |1.000000              |0.000000             |
|1.000000              |4.000000              |1.000000              |-0.006520             |
|2.000000              |4.000000              |1.000000              |2.417069             |
|3.000000              |4.000000              |1.000000              |-2.694150             |
|7.000000              |4.000000              |1.000000              |48.259750             |
|8.000000              |4.000000              |1.000000              |-5.371528             |
|9.000000              |4.000000              |1.000000              |-2.562430             |
